ZIP,Month,Usage (GAL),Avg_Temp_F,Total_Rainfall_Inches,Avg_Humidity_Percent,Season,Population_Density
79821,2020-02,652256.0,,,,,
79821,2020-03,856460.0,,,,,
79821,2020-04,1059168.0,,,,,
79821,2020-05,1154164.0,,,,,
79821,2020-06,1226720.0,,,,,
79821,2020-07,1181840.0,,,,,
79821,2020-08,1202784.0,,,,,
79821,2020-09,1161644.0,,,,,
79821,2020-10,930512.0,,,,,
79821,2020-11,908820.0,,,,,
79821,2020-12,1050192.0,,,,,
79821,2021-01,759968.0,,,,,
79821,2021-02,681428.0,,,,,
79821,2021-03,943228.0,,,,,
79821,2021-04,948464.0,,,,,
79821,2021-05,1065152.0,,,,,
79821,2021-06,1205028.0,,,,,
79821,2021-07,781660.0,,,,,
79821,2021-08,946968.0,,,,,
79821,2021-09,929016.0,,,,,
79821,2021-10,808588.0,,,,,
79821,2021-11,750992.0,,,,,
79821,2021-12,658240.0,,,,,
79821,2022-01,602140.0,55.0,0.4,50.0,Winter,3200.0
79821,2022-02,547536.0,60.0,0.2,45.0,Winter,3200.0
79821,2022-03,878900.0,65.0,0.3,40.0,Spring,3200.0
79821,2022-04,926024.0,70.0,0.5,35.0,Spring,3200.0
79821,2022-05,935000.0,80.0,0.2,30.0,Spring,3200.0
79821,2022-06,1118260.0,90.0,0.1,25.0,Summer,3200.0
79821,2022-07,971652.0,95.0,0.0,20.0,Summer,3200.0
79821,2022-08,1398760.0,93.0,0.0,22.0,Summer,3200.0
79821,2022-09,1746580.0,85.0,0.3,30.0,Fall,3200.0
79821,2022-10,1442144.0,75.0,0.4,40.0,Fall,3200.0
79821,2022-11,1356124.0,65.0,0.2,45.0,Fall,3200.0
79821,2022-12,1184084.0,55.0,0.5,50.0,Winter,3200.0
79821,2023-01,1661308.0,56.0,0.3,50.0,Winter,3200.0
79821,2023-02,1347148.0,61.0,0.2,45.0,Winter,3200.0
79821,2023-03,2025584.0,67.0,0.2,42.0,Spring,3200.0
